ファイル名,作品名,作家名,訳者名
000019/42379_ruby_utf8_sikkarimonono_suzuno.txt,しっかり者のすずの兵隊 DEN STANDHAFTIGE TINSOLDAT,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/42380_ruby_utf8_kofukuno_uwaoigutsu.txt,幸福のうわおいぐつ LYKKENS KALOSKER,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/42381_ruby_utf8_sayonakidori.txt,小夜啼鳥 NATTERGALEN,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/42382_ruby_utf8_tabi_nakama.txt,旅なかま REJSEKAMMERATEN,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/42383_ruby_utf8_ningyono_hiisama.txt,人魚のひいさま DEN LILLE HAVFRUE,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/42384_ruby_utf8_nono_hakucho.txt,野のはくちょう DE VILDE SVANER,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/42385_ruby_utf8_hiko_kaban.txt,ひこうかばん DEN FLYVENDE KOFFERT,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/42386_ruby_utf8_minikui_ahirunoko.txt,醜い家鴨の子 DEN GRIMME AELING,アンデルセン ハンス・クリスチャン,菊池寛訳
000019/42387_ruby_utf8_yukino_joo.txt,雪の女王 SNEDRONNINGEN,アンデルセン ハンス・クリスチャン,ハンス・クリスティアン・アンデルセン　Hans Christian Andersen
000019/4376_ruby_utf8_sokkyo_shijin.txt,即興詩人 IMPROVISATOREN,アンデルセン ハンス・クリスチャン,森鴎外訳
000019/44423_ruby_utf8_mominoki.txt,もみの木 GRANTRAEET,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/58165_ruby_utf8_01eno_nai_ehon.txt,絵のない絵本 BILLEDBOG UDEN BILLEDER,アンデルセン ハンス・クリスチャン,ハンス・クリスチャン・アンデルセン　Hans Christian Andersen
000019/58847_ruby_utf8_suzuno_heitaisan.txt,すずの兵隊さん,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/58848_ruby_utf8_ningyono_hime.txt,人魚の姫,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/58849_ruby_utf8_naichingeru.txt,ナイチンゲール,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/58861_ruby_utf8_kage.txt,影 SKYGGEN,アンデルセン ハンス・クリスチャン,楠山正雄訳
000019/58874_ruby_utf8_sora_tobu_toranku.txt,空とぶトランク,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/58875_ruby_utf8_minikui_ahiruno_ko.txt,みにくいアヒルの子,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/58882_ruby_utf8_momino_ki.txt,モミの木,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59261_ruby_utf8_yukino_joo.txt,雪の女王 ――七つのお話からできている物語――,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59321_ruby_utf8_itazurakko.txt,いたずらっ子,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59322_ruby_utf8_toshi_totta_kashiwano_kino_saigono_yume.txt,年とったカシワの木のさいごの夢,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59323_ruby_utf8_konotori.txt,コウノトリ,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59324_ruby_utf8_buta_kai.txt,ブタ飼い,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59325_ruby_utf8_nemurino_sei.txt,眠りの精,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59372_ruby_utf8_iejuno_hitotachino_itta_koto.txt,家じゅうの人たちの言ったこと,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59373_ruby_utf8_ohakano_nakano_boya.txt,お墓の中の坊や,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59374_ruby_utf8_kakekko.txt,かけっこ,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59375_ruby_utf8_tobi_kurabe.txt,とびくらべ,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59376_ruby_utf8_collar.txt,カラー,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59411_ruby_utf8_tabino_nakama.txt,旅の仲間,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/59997_ruby_utf8_yuki_daruma.txt,雪だるま,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
